,Word,Frequency,FamilySize,SynsetCount,Length,Class,FreqSingular,FreqPlural,DerivEntropy,Complex,rInfl,meanWeightRating,meanSizeRating,meanFamiliarity
34,gherkin,2.079442,0,1.0986123,7,plant,4,3,0,simplex,0.22314355,1.8185,2.2484,3.16
35,goat,6.228511,1.9459101,1.0986123,4,animal,209,297,1.0093,simplex,-0.34998596,3.647,3.8703,3.88
36,goose,5.267858,1.7917595,1.3862944,5,animal,103,85,1.4565,simplex,0.1900436,2.6612,3.0071,3.4
37,grape,5.192957,1.0986123,1.0986123,5,plant,37,142,1.1273,simplex,-1.32525847,1.1317,1.5349,4.68
38,gull,4.418841,1.6094379,1.0986123,4,animal,23,59,1.7296,simplex,-0.91629073,2.3265,2.717,2.6
39,hedgehog,3.637586,0,1.0986123,8,animal,21,16,0,simplex,0.25782911,3.2545,3.592,3.32
40,horse,7.77191,3.3322045,2.0794415,5,animal,1518,854,1.0925,simplex,0.57470603,4.7138,4.8195,4.84
41,kiwi,3.044522,0,1.3862944,4,plant,11,9,0,simplex,0.18232156,1.3752,1.8289,5.28
42,leek,3.332205,0,1.0986123,4,plant,5,22,0,simplex,-1.34373475,1.459,1.8898,3.68
43,lemon,5.631212,0.6931472,1.6094379,5,plant,233,45,0.6285,simplex,1.62667972,1.4315,1.8119,5.04
44,lettuce,4.812184,0,1.0986123,7,plant,115,7,0,simplex,2.67414865,1.6395,2.0139,5.12
45,lion,6.098074,1.0986123,1.0986123,4,animal,152,292,0.234,simplex,-0.64973469,4.0036,4.2029,4.04
46,magpie,2.995732,0,1.0986123,6,animal,13,6,0,simplex,0.69314718,3.3214,3.6695,2.68
47,melon,4.127134,1.0986123,1.0986123,5,plant,38,23,0.5392,simplex,0.48550782,1.1586,1.5924,3.56
48,mole,4.60517,1.0986123,1.9459101,4,animal,69,30,0.6968,simplex,0.81450804,2.6112,2.9999,2.4
49,monkey,5.783825,0,1.6094379,6,animal,162,162,0,simplex,0,3.7049,3.9559,4
50,moose,2.70805,0,0.6931472,5,animal,7,7,0,simplex,0,3.5673,3.8893,2.48
51,mouse,5.805135,1.9459101,1.6094379,5,animal,146,184,0.4497,simplex,-0.22992324,3.4551,3.7255,4.44
52,mushroom,5.537334,0.6931472,1.9459101,8,plant,90,137,0.4777,simplex,-0.41639418,1.3199,1.7232,4.8
53,mustard,4.442651,0,1.3862944,7,plant,84,0,0,simplex,4.44265126,1.4082,1.8218,4
54,olive,5.587249,1.0986123,1.9459101,5,plant,160,78,0.5684,simplex,0.71195651,1.2952,1.6987,4.12
55,orange,6.378426,1.3862944,1.7917595,6,plant,258,93,1.0996,simplex,1.01353328,1.5999,1.9453,5.6
56,owl,4.859812,1.3862944,0.6931472,3,animal,54,74,0.7912,simplex,-0.31015493,3.1806,3.4758,3.12
57,paprika,2.484907,0,1.0986123,7,plant,11,0,0,simplex,2.48490665,1.6507,2.0858,3.44
58,peanut,4.59512,0.6931472,1.6094379,6,plant,49,49,0.4719,complex,0,1.074,1.517,4.68
59,pear,4.727388,0,1.0986123,4,plant,44,68,0,simplex,-0.42744401,1.6114,1.9908,4.52
60,pig,6.660575,2.7725887,2.3025851,3,animal,320,460,1.6313,simplex,-0.36195692,3.12,3.4075,4.48
61,pigeon,5.26269,1.0986123,0.6931472,6,animal,38,154,0.4007,simplex,-1.37986347,3.5777,3.8279,3.32
62,pineapple,3.988984,0,1.0986123,9,plant,44,9,0,complex,1.5040774,1.4581,1.8716,4.4
63,potato,6.461468,0,1.0986123,6,plant,206,433,0,simplex,-0.74032574,2.6131,2.8516,5.8
64,radish,3.044522,0.6931472,1.3862944,6,plant,11,9,0.9403,simplex,0.18232156,0.8244,1.3226,3.12
65,reindeer,4.043051,0,0.6931472,8,animal,28,28,0,complex,0,3.4517,3.7494,2.28
66,shark,5.880533,0.6931472,1.7917595,5,animal,246,111,0.0277,simplex,0.79088947,3.6724,3.9283,3.76
67,sheep,6.577861,2.3025851,1.3862944,5,animal,359,359,1.5565,simplex,0,3.4881,3.7201,5.2
68,snake,6.120297,1.6094379,1.9459101,5,animal,251,161,0.8809,simplex,0.44183275,3.2734,3.5577,3.52
69,spider,4.844187,0.6931472,1.0986123,6,animal,73,53,0.5763,simplex,0.31508105,3.1251,3.4381,5.04
70,squid,3.970292,0,1.0986123,5,animal,23,29,0,simplex,-0.22314355,3.2684,3.5957,3.08
71,squirrel,4.70953,0,1.0986123,8,animal,63,47,0,simplex,0.28768207,3.4178,3.7114,2.8
72,stork,3.044522,0,0.6931472,5,animal,13,7,0,simplex,0.55961579,3.4878,3.8085,2
73,strawberry,4.75359,0,1.3862944,10,plant,50,65,0,complex,-0.25782911,1.4951,1.8922,5.04
74,swan,4.962845,1.3862944,1.3862944,4,animal,88,46,0.7769,simplex,0.63848877,2.9268,3.2612,3
75,tomato,5.545177,0,1.0986123,6,plant,123,132,0,simplex,-0.07006756,1.9716,2.2952,5.44
76,tortoise,4.624973,0,0.6931472,8,animal,71,30,0.3463,simplex,0.84267891,3.3654,3.653,2.52
77,vulture,4.248495,0,1.0986123,7,animal,21,48,0,simplex,-0.80077784,3.3054,3.6219,2.28
78,walnut,4.49981,0,1.3862944,6,plant,70,19,0,simplex,1.2669476,1.422,1.8327,3.92
79,wasp,4.682131,1.3862944,0.6931472,4,animal,43,64,0.4621,simplex,-0.39019764,3.3145,3.6045,3.36
80,whale,5.298317,1.0986123,1.3862944,5,animal,104,95,0.4994,simplex,0.08961216,3.2365,3.535,3.96
81,woodpecker,2.890372,0,0.6931472,10,animal,11,6,0,complex,0.5389965,3.52,3.8417,2.04
